masked_id,age,tenure_altered,check_bal_altered,sav_bal_altered
1,59,11.85,6642.50,31265.61
1,59,11.76,10488.10,36489.03
1,59,11.68,12193.84,31643.84
1,59,11.59,8228.42,38493.89
1,59,11.52,762.69,47539.18
1,59,11.44,4303.96,42494.87
2,38,1.09,108.42,373.33
2,38,1.01,1077.95,1847.40
2,38,0.93,592.26,4000.77
2,38,0.84,1166.05,8974.87
2,38,0.77,1151.65,15401.57
2,38,0.68,4302.91,21782.07
3,57,33.78,289952.76,89895.84
3,57,33.70,277380.34,88337.90
3,57,33.61,272161.33,88193.23
3,57,33.54,277602.69,87509.93
3,57,33.46,273717.25,84660.36
3,57,33.37,263610.37,83980.71
4,45,4.21,3988.13,5625.02
4,45,4.14,3749.98,6757.40
4,45,4.05,4226.51,11480.06
4,45,3.97,4464.81,8521.84
4,45,3.89,2808.30,12322.14
4,45,3.80,5578.52,21258.31
5,36,13.76,2179.39,0.00
5,36,13.67,793.94,3786.99
5,36,13.59,1213.56,4853.88
5,35,13.51,2387.45,5144.76
5,35,13.43,1335.79,49667.20
5,35,13.35,2577.28,49471.93
6,65,6.38,4556.68,36718.05
6,65,6.29,1764.50,38947.75
6,65,6.21,1775.18,38906.69
6,65,6.13,2729.60,38886.00
6,65,6.05,3745.51,40469.04
6,65,5.97,3846.85,40420.21
7,18,5.57,519.72,82971.65
7,18,5.48,2722.50,82963.92
7,18,5.40,1765.40,91653.01
7,18,5.32,370.29,102023.39
7,18,5.23,2896.79,114005.67
7,18,5.16,464.82,145508.62
8,58,8.14,75964.48,243259.90
8,58,8.06,60725.85,296607.52
8,58,7.98,60811.69,296605.07
8,58,7.90,60897.57,296602.56
8,58,7.81,60725.70,296283.84
8,58,7.73,59365.37,310831.19
9,35,13.91,2492.85,29270.17
9,35,13.83,2356.56,29197.24
9,35,13.75,1216.54,29884.54
9,34,13.66,1672.84,29714.61
9,34,13.58,1403.35,29544.67
9,34,13.51,2506.50,30247.74
10,26,8.55,825.10,123426.33
10,26,8.47,6139.30,116330.03
10,26,8.39,-0.93,113333.33
10,26,8.30,2316.35,109571.00
10,26,8.22,4203.46,103992.87
10,26,8.14,5384.45,90594.63
11,29,7.44,5724.58,31716.29
11,29,7.36,7169.29,33171.01
11,29,7.28,4314.07,37744.27
11,29,7.19,6196.31,35803.96
11,29,7.12,5332.53,36773.67
11,29,7.03,6565.93,35803.35
12,90,43.00,18471.67,104300.12
12,90,42.92,10294.02,107873.38
12,90,42.84,9064.87,101798.89
12,89,42.75,13502.31,98368.59
12,89,42.67,7271.11,360590.25
12,89,42.59,6400.79,312735.43
13,73,18.82,1822.34,40142.23
13,73,18.73,2548.88,35991.70
13,72,18.65,2292.33,35923.35
13,72,18.56,1830.12,40288.03
13,72,18.48,2138.46,36923.46
13,72,18.41,3099.44,35954.91
14,72,19.40,13438.49,76534.46
14,72,19.31,16660.13,77239.00
14,72,19.23,5383.14,75906.60
14,72,19.14,9351.32,74574.26
14,72,19.06,9101.68,78091.96
14,72,18.98,9072.89,76759.42
15,52,18.28,4980.74,309986.31
15,52,18.20,4235.36,314660.31
15,52,18.11,3971.10,318725.70
15,52,18.03,4364.25,287344.84
15,52,17.95,8508.95,169238.81
15,51,17.87,7346.57,182377.04
16,67,33.19,907.01,3793.02
16,67,33.12,1245.47,4277.93
16,67,33.04,1490.66,6702.76
16,67,32.95,1645.82,16402.41
16,66,32.87,980.29,18826.90
16,66,32.79,1019.61,21736.63
17,79,29.15,25040.45,2547.25
17,79,29.07,37477.99,2547.08
17,79,28.98,35835.89,10791.60
17,79,28.90,36408.80,10790.88
17,79,28.82,46631.27,21945.17
17,79,28.73,34515.89,21943.67
18,19,17.26,2679.67,29110.50
18,19,17.17,2679.67,29110.26
18,19,17.09,2679.67,29110.03
18,19,17.00,2679.67,29109.78
18,19,16.93,2679.67,29109.53
18,19,16.85,2679.67,29109.31
19,44,8.48,8336.56,107676.22
19,44,8.39,7030.96,104765.39
19,44,8.31,6237.13,101854.58
19,44,8.23,6925.01,106703.79
19,44,8.14,6395.89,104763.46
19,44,8.07,6393.02,103307.13
20,43,21.40,3074.20,59174.02
20,43,21.32,3187.07,60143.55
20,43,21.24,2358.28,60143.02
20,43,21.16,3041.48,60627.53
20,43,21.07,627.79,66446.94
20,43,20.99,1778.89,63051.97
21,80,25.93,5094.09,180818.47
21,80,25.85,7914.08,182980.03
21,80,25.77,8881.19,181158.19
21,80,25.69,12715.61,176579.29
21,80,25.61,12806.52,185106.72
21,80,25.52,6656.51,190538.20
22,50,15.43,8226.96,190208.37
22,50,15.35,6845.62,203737.35
22,50,15.26,6202.70,208578.85
22,50,15.18,9233.05,214389.88
22,50,15.10,6453.70,215351.01
22,50,15.01,11935.46,223320.33
23,29,6.29,12933.85,12190.04
23,29,6.21,6212.85,18979.89
23,29,6.14,6212.85,18979.74
23,28,6.05,6212.85,18979.58
23,28,5.97,6212.85,18979.41
23,28,5.89,5884.92,10438.12
24,32,23.52,15128.45,121455.48
24,32,23.44,15213.71,121454.45
24,32,23.35,17543.38,121453.45
24,32,23.28,19753.00,121452.41
24,32,23.20,4546.39,121451.42
24,32,23.11,6034.06,121450.25
25,58,27.74,0.00,0.00
25,58,27.66,0.00,0.00
25,58,27.58,0.00,0.00
25,58,27.50,413.74,9998.45
25,58,27.41,865.50,9998.32
25,58,27.33,4662.81,29883.09
26,56,29.32,4727.08,1247.21
26,56,29.24,1080.90,3210.25
26,56,29.16,2598.70,3230.26
26,56,29.08,6384.89,1279.25
26,56,29.00,9580.85,12935.36
26,56,28.91,21589.38,32455.36
27,22,1.43,153.87,87644.80
27,22,1.35,95.98,88592.46
27,22,1.27,434.72,89263.56
27,22,1.19,259.62,89516.98
27,21,1.11,106.53,87942.06
27,21,1.02,168.86,87590.93
28,62,16.46,3095.50,1756.24
28,61,16.39,5103.25,1693.16
28,61,16.31,7462.76,5320.93
28,61,16.22,5254.13,7900.56
28,61,16.14,3171.77,3995.63
28,61,16.05,3824.63,23744.62
29,37,17.91,27169.93,45802.36
29,37,17.83,24720.15,45801.91
29,36,17.74,23738.77,45801.49
29,36,17.66,23266.90,45801.03
29,36,17.58,19214.39,45800.56
29,36,17.49,16668.51,45800.14
30,83,8.49,19794.81,1456972.40
30,83,8.40,23910.36,1456884.97
30,83,8.32,16875.02,242800.11
30,83,8.23,12766.73,257337.29
30,83,8.15,11383.96,271874.16
30,83,8.08,9855.77,286410.10
31,35,5.90,5188.75,64027.24
31,35,5.81,3641.89,61597.87
31,35,5.73,3292.43,59655.45
31,34,5.65,1614.11,57710.13
31,34,5.57,1270.34,55592.36
31,34,5.49,1687.05,53120.65
32,49,18.08,5016.96,0.00
32,49,17.99,4008.06,3967.53
32,49,17.92,3823.73,8590.61
32,49,17.83,3923.58,13409.08
32,49,17.75,3784.61,21353.25
32,49,17.67,3988.77,25553.15
33,54,19.12,87012.90,38021.01
33,54,19.03,86434.82,38020.97
33,54,18.95,86199.56,38020.94
33,54,18.87,82621.27,45217.78
33,54,18.79,79456.64,45217.69
33,54,18.71,74095.86,45217.58
34,71,47.49,16223.92,295821.49
34,71,47.40,15601.06,295796.85
34,71,47.33,15135.10,295773.00
34,71,47.24,17392.48,295748.35
34,71,47.16,16362.90,295724.50
34,71,47.08,15586.74,295699.86
35,56,16.07,21141.45,18350.16
35,56,15.99,10088.55,21890.86
35,55,15.91,8694.15,23378.91
35,55,15.83,9361.18,27452.31
35,55,15.75,7375.72,33593.33
35,55,15.66,21467.48,42385.61
36,60,17.46,44116.16,116852.48
36,59,17.38,41364.72,125479.60
36,59,17.30,77833.76,119159.06
36,59,17.22,167974.64,154756.88
36,59,17.14,33685.14,44224.72
36,59,17.05,95579.78,26229.40
37,83,30.59,32007.24,67151.97
37,83,30.50,29790.43,67147.41
37,83,30.42,36847.43,67142.99
37,83,30.34,29556.03,57435.62
37,83,30.25,26501.28,51207.71
37,83,30.18,31639.09,26944.84
38,47,18.92,51341.36,476176.17
38,47,18.84,50646.50,476546.77
38,47,18.76,30923.90,724925.45
38,47,18.68,44710.53,724809.00
38,46,18.59,88442.67,728954.74
38,46,18.51,45098.11,749191.64
39,43,28.68,29036.97,304232.41
39,43,28.60,29070.86,304219.48
39,43,28.52,31854.87,304206.98
39,43,28.43,33154.25,304183.24
39,43,28.35,34735.49,304145.74
39,43,28.26,36313.45,304106.99
40,67,39.73,10179.41,65608.84
40,67,39.65,7831.63,63425.84
40,67,39.56,9461.50,67547.82
40,67,39.49,9537.08,78896.17
40,66,39.41,7409.82,79866.39
40,66,39.32,10367.77,88168.05
41,33,25.32,14959.20,29320.74
41,33,25.24,19301.08,29320.51
41,33,25.16,7402.80,29247.52
41,33,25.08,7516.73,29174.52
41,33,24.99,13567.09,33951.45
41,33,24.91,6933.37,46368.08
42,29,11.24,6620.24,104216.57
42,29,11.16,14586.63,120594.08
42,29,11.07,14266.42,139703.89
42,29,11.00,24438.27,149062.83
42,29,10.92,11413.86,168365.45
42,29,10.83,7375.15,172993.79
43,65,17.13,31584.10,55485.35
43,64,17.05,28453.89,67123.73
43,64,16.97,24798.08,67122.19
43,64,16.89,22239.83,67120.43
43,64,16.81,20515.62,67118.66
43,64,16.72,17782.81,67117.11
44,36,20.52,11665.32,241331.50
44,36,20.44,8454.44,241311.01
44,36,20.36,4789.53,241291.17
44,36,20.28,11113.89,231571.48
44,35,20.20,9411.72,231552.45
44,35,20.11,7423.71,231532.79
45,14,2.73,20.13,2276.78
45,14,2.64,16.19,4579.53
45,14,2.56,47.65,5682.38
45,14,2.47,6.85,7027.72
45,14,2.39,57.85,8615.54
45,13,2.31,6.85,12881.17
